OrderID,OrderDate,Region,Category,Product,UnitPrice,Quantity,DiscountRate,GrossSales,NetSales,Cost,Profit,PaymentMethod,Month,MonthNum,Quarter
ORD-2025-1012,2025-04-27 13:51:05.554628,North,Apparel,Jacket,177.78,3,0.0,533.34,533.34,287.5,245.84,UPI / Wallet,Apr,4,Q2
ORD-2025-1013,2025-03-01 19:21:22.068390,South,Electronics,Laptop,486.82,3,0.1,1460.46,1314.41,706.03,608.38,Credit Card,Mar,3,Q1
ORD-2025-1014,2025-05-29 03:36:10.809007,East,Apparel,T-Shirt,77.87,3,0.0,233.61,233.61,169.95,63.66,Cash on Delivery,May,5,Q2
ORD-2025-1015,2025-09-25 03:44:35.229357,North,Beauty & Care,Skincare Set,54.92,3,0.15,164.76,140.05,92.24,47.81,Debit Card,Sep,9,Q3
ORD-2025-1016,2025-07-10 08:22:01.100917,North,Beauty & Care,Perfume,114.01,2,0.0,228.02,228.02,140.32,87.7,UPI / Wallet,Jul,7,Q3
ORD-2025-1017,2025-10-18 05:29:04.453711,North,Electronics,Smartwatch,399.11,1,0.0,399.11,399.11,246.35,152.76,UPI / Wallet,Oct,10,Q4
ORD-2025-1018,2025-05-23 09:10:03.502919,North,Sports & Outdoors,Bicycle,265.95,1,0.0,265.95,265.95,149.8,116.15,Credit Card,May,5,Q2
ORD-2025-1019,2025-06-15 18:11:42.585487,East,Electronics,Smartwatch,1137.48,5,0.0,5687.4,5687.4,2786.85,2900.55,Cash on Delivery,Jun,6,Q2
ORD-2025-1020,2025-10-29 03:46:59.349457,North,Sports & Outdoors,Yoga Mat,186.69,2,0.15,373.38,317.37,240.84,76.53,Credit Card,Oct,10,Q4
ORD-2025-1021,2025-09-16 23:01:09.057547,South,Home & Kitchen,Coffee Maker,256.07,5,0.0,1280.35,1280.35,837.43,442.92,Credit Card,Sep,9,Q3
ORD-2025-1022,2025-05-04 13:25:52.293577,West,Apparel,Jeans,148.74,4,0.15,594.96,505.72,390.27,115.45,UPI / Wallet,May,5,Q2
ORD-2025-1023,2025-08-09 09:41:17.064220,East,Home & Kitchen,Blender,300.07,2,0.1,600.14,540.13,362.94,177.19,Credit Card,Aug,8,Q3
ORD-2025-1024,2025-10-29 03:46:59.349457,West,Beauty & Care,Makeup Kit,39.44,3,0.05,118.32,112.4,63.19,49.21,Cash on Delivery,Oct,10,Q4
ORD-2025-1025,2025-07-12 18:39:19.966638,East,Home & Kitchen,Blender,270.65,1,0.05,270.65,257.12,196.06,61.06,Cash on Delivery,Jul,7,Q3
ORD-2025-1026,2025-09-01 04:08:36.430358,North,Electronics,Smartwatch,1131.34,5,0.0,5656.7,5656.7,3991.82,1664.88,Credit Card,Sep,9,Q3
ORD-2025-1027,2025-10-30 08:55:38.782318,North,Sports & Outdoors,Dumbbell Set,91.27,2,0.1,182.54,164.29,88.38,75.91,Credit Card,Oct,10,Q4
ORD-2025-1028,2025-04-19 01:50:29.524603,South,Apparel,Sneakers,32.02,1,0.05,32.02,30.42,17.49,12.93,UPI / Wallet,Apr,4,Q2
ORD-2025-1029,2025-04-12 16:50:02.502085,East,Electronics,Smartwatch,765.06,1,0.1,765.06,688.55,367.55,321.0,UPI / Wallet,Apr,4,Q2
ORD-2025-1030,2025-12-28 13:42:41.134278,West,Beauty & Care,Skincare Set,29.44,1,0.05,29.44,27.97,18.58,9.39,UPI / Wallet,Dec,12,Q4
ORD-2025-1031,2025-11-06 23:04:45.237698,West,Electronics,Headphones,274.07,5,0.2,1370.35,1096.28,674.88,421.4,Credit Card,Nov,11,Q4
ORD-2025-1032,2025-10-06 23:53:59.699749,West,Electronics,Headphones,583.25,5,0.0,2916.25,2916.25,1679.9,1236.35,UPI / Wallet,Oct,10,Q4
ORD-2025-1033,2025-09-20 21:44:17.214345,North,Electronics,Laptop,680.51,4,0.2,2722.04,2177.63,1145.12,1032.51,Credit Card,Sep,9,Q3
ORD-2025-1034,2025-08-06 16:06:48.340283,East,Beauty & Care,Hair Dryer,80.24,5,0.1,401.2,361.08,195.9,165.18,Debit Card,Aug,8,Q3
ORD-2025-1035,2025-02-02 18:53:44.687239,West,Apparel,Jeans,33.66,4,0.05,134.64,127.91,67.65,60.26,Debit Card,Feb,2,Q1
ORD-2025-1036,2025-12-30 09:25:40.283569,East,Apparel,Jacket,134.47,5,0.0,672.35,672.35,360.49,311.86,Cash on Delivery,Dec,12,Q4
ORD-2025-1037,2025-03-07 13:47:29.374478,East,Beauty & Care,Perfume,90.51,3,0.0,271.53,271.53,171.66,99.87,Credit Card,Mar,3,Q1
ORD-2025-1038,2025-11-25 04:14:36.730608,East,Sports & Outdoors,Bicycle,178.07,1,0.0,178.07,178.07,110.67,67.4,Credit Card,Nov,11,Q4
ORD-2025-1039,2025-01-18 07:18:21.918265,North,Sports & Outdoors,Yoga Mat,125.05,3,0.2,375.15,300.12,187.0,113.12,UPI / Wallet,Jan,1,Q1
ORD-2025-1040,2025-12-20 23:33:34.678899,South,Sports & Outdoors,Dumbbell Set,428.43,4,0.0,1713.72,1713.72,1164.13,549.59,Credit Card,Dec,12,Q4
ORD-2025-1041,2025-07-24 22:05:54.295246,South,Apparel,T-Shirt,37.05,1,0.0,37.05,37.05,24.33,12.72,UPI / Wallet,Jul,7,Q3
ORD-2025-1042,2025-08-16 23:50:23.519599,North,Home & Kitchen,Blender,220.16,2,0.05,440.32,418.3,305.59,112.71,Credit Card,Aug,8,Q3
ORD-2025-1043,2025-04-24 05:42:17.114261,West,Electronics,Headphones,773.84,2,0.0,1547.68,1547.68,1145.04,402.64,Credit Card,Apr,4,Q2
ORD-2025-1044,2025-09-07 13:09:03.452877,West,Electronics,Laptop,1199.7,2,0.0,2399.4,2399.4,1697.99,701.41,,Sep,9,Q3
ORD-2025-1045,2025-01-01 00:00:00.000000,West,Sports & Outdoors,Water Bottle,64.4,2,0.0,128.8,128.8,82.06,46.74,Debit Card,Jan,1,Q1
ORD-2025-1046,2025-03-23 01:22:52.143452,West,Beauty & Care,Skincare Set,68.0,5,0.05,340.0,323.0,183.71,139.29,Credit Card,Mar,3,Q1
ORD-2025-1047,2025-08-20 15:16:21.818181,West,Apparel,Sneakers,111.0,1,0.1,111.0,99.9,66.04,33.86,UPI / Wallet,Aug,8,Q3
ORD-2025-1048,2025-01-25 06:53:08.657214,West,Beauty & Care,Perfume,65.91,5,0.0,329.55,329.55,236.37,93.18,UPI / Wallet,Jan,1,Q1
ORD-2025-1049,2025-02-03 09:28:04.403669,North,Home & Kitchen,Coffee Maker,255.92,3,0.05,767.76,729.37,531.2,198.17,,Feb,2,Q1
ORD-2025-1050,2025-11-09 02:04:54.245204,South,Apparel,Jacket,110.05,1,0.05,110.05,104.55,59.89,44.66,Credit Card,Nov,11,Q4
ORD-2025-1051,2025-03-17 06:56:44.837364,South,Home & Kitchen,Air Fryer,309.17,4,0.0,1236.68,1236.68,827.16,409.52,UPI / Wallet,Mar,3,Q1
ORD-2025-1052,2025-05-24 14:18:42.935779,East,Apparel,Jacket,47.9,3,0.05,143.7,136.51,102.09,34.42,Credit Card,May,5,Q2
ORD-2025-1053,2025-08-13 01:07:15.362802,South,Electronics,Headphones,546.15,4,0.0,2184.6,2184.6,1479.24,705.36,UPI / Wallet,Aug,8,Q3
ORD-2025-1054,2025-01-21 00:52:50.642201,East,Apparel,Jeans,139.21,2,0.0,278.42,278.42,186.84,91.58,UPI / Wallet,Jan,1,Q1
ORD-2025-1055,2025-04-06 07:49:35.479566,West,Sports & Outdoors,Yoga Mat,84.9,3,0.0,254.7,254.7,137.09,117.61,Credit Card,Apr,4,Q2
ORD-2025-1056,2025-12-19 03:50:35.529608,North,Home & Kitchen,Air Fryer,74.73,4,0.0,298.92,298.92,145.72,153.2,UPI / Wallet,Dec,12,Q4
ORD-2025-1057,2025-10-15 04:37:25.871559,West,Apparel,Jeans,98.88,4,0.0,395.52,395.52,248.27,147.25,Credit Card,Oct,10,Q4
ORD-2025-1058,2025-06-19 09:37:40.884070,East,Sports & Outdoors,Dumbbell Set,161.42,2,0.05,322.84,306.7,188.72,117.98,,Jun,6,Q2
ORD-2025-1059,2025-12-28 13:42:41.134278,West,Electronics,Headphones,865.58,1,0.15,865.58,735.74,409.22,326.52,Credit Card,Dec,12,Q4
ORD-2025-1060,2025-04-24 20:16:36.830692,West,Apparel,T-Shirt,168.6,3,0.1,505.8,455.22,327.54,127.68,Credit Card,Apr,4,Q2
ORD-2025-1061,2025-08-08 19:06:57.347789,North,Home & Kitchen,Air Fryer,138.02,3,0.05,414.06,393.36,243.12,150.24,Credit Card,Aug,8,Q3
ORD-2025-1062,2025-10-29 03:46:59.349457,North,Electronics,Headphones,553.09,3,0.05,1659.27,1576.31,1071.15,505.16,Credit Card,Oct,10,Q4
ORD-2025-1063,2025-11-12 02:56:32.827356,West,Electronics,Smartwatch,928.53,3,0.1,2785.59,2507.03,1930.26,576.77,UPI / Wallet,Nov,11,Q4
ORD-2025-1064,2025-06-06 15:36:46.839032,West,Electronics,Smartphone,1012.32,5,0.05,5061.6,4808.52,3049.05,1759.47,Credit Card,Jun,6,Q2
ORD-2025-1065,2025-02-09 03:54:11.709758,North,Home & Kitchen,Air Fryer,225.7,2,0.15,451.4,383.69,281.63,102.06,UPI / Wallet,Feb,2,Q1
ORD-2025-1066,2025-10-18 12:46:14.311926,North,Electronics,Headphones,912.4,5,0.1,4562.0,4105.8,3014.64,1091.16,UPI / Wallet,Oct,10,Q4
ORD-2025-1067,2025-11-04 12:47:26.371976,North,Electronics,Smartphone,1106.22,1,0.0,1106.22,1106.22,759.49,346.73,Credit Card,Nov,11,Q4
ORD-2025-1068,2025-07-20 08:48:26.422018,South,Sports & Outdoors,Yoga Mat,195.31,2,0.15,390.62,332.03,224.48,107.55,Credit Card,Jul,7,Q3
ORD-2025-1069,2025-05-07 14:17:30.875729,West,Home & Kitchen,Air Fryer,94.68,1,0.0,94.68,94.68,57.36,37.32,UPI / Wallet,May,5,Q2
ORD-2025-1070,2025-02-17 01:20:28.023352,North,Electronics,Headphones,1174.32,1,0.0,1174.32,1174.32,806.78,367.54,Credit Card,Feb,2,Q1
ORD-2025-1071,2025-05-12 18:09:18.465387,North,Home & Kitchen,Coffee Maker,51.33,2,0.0,102.66,102.66,58.08,44.58,UPI / Wallet,May,5,Q2
ORD-2025-1072,2025-06-02 02:19:18.965804,South,Apparel,Sneakers,49.06,2,0.0,98.12,98.12,57.58,40.54,Credit Card,Jun,6,Q2
ORD-2025-1073,2025-01-27 02:36:07.806505,West,Apparel,Jeans,29.2,5,0.05,146.0,138.7,94.07,44.63,UPI / Wallet,Jan,1,Q1
ORD-2025-1074,2025-11-23 01:14:27.723102,East,Apparel,Jeans,136.95,5,0.0,684.75,684.75,450.62,234.13,Credit Card,Nov,11,Q4
ORD-2025-1075,2025-01-02 19:42:59.149291,East,Electronics,Headphones,1040.53,1,0.1,1040.53,936.48,634.42,302.06,Credit Card,Jan,1,Q1
ORD-2025-1076,2025-08-03 07:57:59.899916,East,Beauty & Care,Makeup Kit,63.61,4,0.2,254.44,203.55,111.15,92.4,Credit Card,Aug,8,Q3
ORD-2025-1077,2025-12-25 12:51:02.552126,South,Electronics,Smartphone,173.59,3,0.0,520.77,520.77,385.53,135.24,Cash on Delivery,Dec,12,Q4
ORD-2025-1078,2025-07-04 21:13:03.653044,North,Home & Kitchen,Coffee Maker,218.72,1,0.0,218.72,218.72,123.34,95.38,Credit Card,Jul,7,Q3
ORD-2025-1079,2025-04-14 12:33:01.651376,North,Electronics,Headphones,1067.58,5,0.1,5337.9,4804.11,3164.4,1639.71,Debit Card,Apr,4,Q2
ORD-2025-1080,2025-02-09 03:54:11.709758,North,Home & Kitchen,Blender,116.06,4,0.1,464.24,417.82,288.66,129.16,UPI / Wallet,Feb,2,Q1
ORD-2025-1081,2025-01-30 10:44:56.246872,South,Sports & Outdoors,Water Bottle,37.37,3,0.05,112.11,106.5,72.39,34.11,Debit Card,Jan,1,Q1
ORD-2025-1082,2025-01-22 20:35:49.791492,North,Electronics,Laptop,670.27,5,0.0,3351.35,3351.35,1641.12,1710.23,Credit Card,Jan,1,Q1
ORD-2025-1083,2025-06-08 18:36:55.846538,South,Beauty & Care,Hair Dryer,64.6,3,0.1,193.8,174.42,93.84,80.58,UPI / Wallet,Jun,6,Q2
ORD-2025-1084,2025-04-24 05:42:17.114261,East,Electronics,Smartphone,663.9,2,0.05,1327.8,1261.41,605.72,655.69,UPI / Wallet,Apr,4,Q2
ORD-2025-1085,2025-12-03 16:15:12.760633,West,Sports & Outdoors,Bicycle,221.28,4,0.1,885.12,796.61,545.1,251.51,Debit Card,Dec,12,Q4
ORD-2025-1086,2025-12-25 20:08:12.410341,South,Beauty & Care,Makeup Kit,64.1,1,0.05,64.1,60.89,35.41,25.48,UPI / Wallet,Dec,12,Q4
ORD-2025-1087,2025-12-26 10:42:32.126772,West,Apparel,T-Shirt,28.78,5,0.0,143.9,143.9,71.98,71.92,Credit Card,Dec,12,Q4
ORD-2025-1088,2025-09-04 19:34:34.728940,South,Electronics,Laptop,189.48,1,0.0,189.48,189.48,118.09,71.39,UPI / Wallet,Sep,9,Q3
ORD-2025-1089,2025-01-01 14:34:19.716430,South,Apparel,T-Shirt,116.31,1,0.0,116.31,116.31,86.38,29.93,Cash on Delivery,Jan,1,Q1
ORD-2025-1090,2025-01-19 05:09:51.492910,North,Beauty & Care,Perfume,110.37,4,0.0,441.48,441.48,291.17,150.31,Debit Card,Jan,1,Q1
ORD-2025-1091,2025-09-26 08:53:14.662218,West,Apparel,Jeans,59.18,5,0.05,295.9,281.1,201.02,80.08,UPI / Wallet,Sep,9,Q3
ORD-2025-1092,2025-11-13 15:22:22.118432,West,Sports & Outdoors,Bicycle,369.89,5,0.0,1849.45,1849.45,1144.64,704.81,UPI / Wallet,Nov,11,Q4
ORD-2025-1093,2025-10-16 17:03:15.162635,North,Beauty & Care,Skincare Set,100.95,5,0.1,504.75,454.28,315.99,138.29,Credit Card,Oct,10,Q4
ORD-2025-1094,2025-01-12 05:35:04.753961,North,Sports & Outdoors,Water Bottle,48.12,1,0.0,48.12,48.12,24.79,23.33,UPI / Wallet,Jan,1,Q1
ORD-2025-1095,2025-02-04 14:36:43.836530,West,Apparel,T-Shirt,66.39,1,0.0,66.39,66.39,48.59,17.8,Credit Card,Feb,2,Q1
ORD-2025-1096,2025-06-18 19:03:21.167639,East,Apparel,T-Shirt,141.67,3,0.15,425.01,361.26,281.23,80.03,Debit Card,Jun,6,Q2
ORD-2025-1097,2025-01-25 14:10:18.515429,West,Sports & Outdoors,Yoga Mat,258.53,2,0.05,517.06,491.21,303.57,187.64,Debit Card,Jan,1,Q1
ORD-2025-1098,2025-05-22 11:18:33.928273,East,Apparel,Jacket,77.99,4,0.0,311.96,311.96,171.19,140.77,Cash on Delivery,May,5,Q2
ORD-2025-1099,2025-02-27 23:38:22.919099,East,Electronics,Smartphone,647.25,5,0.0,3236.25,3236.25,1895.56,1340.69,UPI / Wallet,Feb,2,Q1
ORD-2025-1100,2025-05-20 08:18:24.920767,North,Home & Kitchen,Blender,278.83,2,0.2,557.66,446.13,290.94,155.19,UPI / Wallet,May,5,Q2
ORD-2025-1101,2025-01-12 12:52:14.612176,South,Sports & Outdoors,Yoga Mat,72.13,3,0.2,216.39,173.11,127.18,45.93,,Jan,1,Q1
ORD-2025-1102,2025-01-07 01:43:17.164303,West,Sports & Outdoors,Bicycle,154.52,2,0.0,309.04,309.04,238.16,70.88,UPI / Wallet,Jan,1,Q1
ORD-2025-1103,2025-05-30 01:27:40.383653,South,Beauty & Care,Perfume,65.37,3,0.1,196.11,176.5,122.09,54.41,Cash on Delivery,May,5,Q2
ORD-2025-1104,2025-04-25 10:50:56.547122,East,Electronics,Smartphone,273.17,1,0.0,273.17,273.17,159.68,113.49,Credit Card,Apr,4,Q2
ORD-2025-1105,2025-04-27 21:08:15.412844,East,Home & Kitchen,Cookware Set,62.46,3,0.05,187.38,178.01,92.91,85.1,Debit Card,Apr,4,Q2
ORD-2025-1106,2025-08-25 04:33:49.691409,South,Electronics,Laptop,257.93,1,0.05,257.93,245.03,190.41,54.62,Credit Card,Aug,8,Q3
ORD-2025-1107,2025-01-01 07:17:09.858215,South,Electronics,Laptop,236.63,2,0.05,473.26,449.6,242.7,206.9,Credit Card,Jan,1,Q1
ORD-2025-1108,2025-09-26 23:27:34.378648,East,Home & Kitchen,Blender,330.23,2,0.15,660.46,561.39,278.33,283.06,UPI / Wallet,Sep,9,Q3
ORD-2025-1109,2025-12-03 01:40:53.044203,South,Home & Kitchen,Air Fryer,209.75,3,0.0,629.25,629.25,459.86,169.39,Credit Card,Dec,12,Q4
ORD-2025-1110,2025-10-24 14:29:31.476230,North,Beauty & Care,Skincare Set,67.02,5,0.1,335.1,301.59,175.64,125.95,UPI / Wallet,Oct,10,Q4
ORD-2025-1111,2025-10-05 04:11:00.550458,East,Sports & Outdoors,Water Bottle,110.94,1,0.1,110.94,99.85,72.67,27.18,Cash on Delivery,Oct,10,Q4
ORD-2025-1112,2025-10-18 05:29:04.453711,West,Sports & Outdoors,Water Bottle,238.59,1,0.0,238.59,238.59,134.19,104.4,UPI / Wallet,Oct,10,Q4
ORD-2025-1113,2025-06-25 04:03:48.190158,East,Beauty & Care,Perfume,55.92,2,0.05,111.84,106.25,59.51,46.74,Credit Card,Jun,6,Q2
ORD-2025-1114,2025-01-31 01:19:15.963302,West,Apparel,T-Shirt,104.46,4,0.0,417.84,417.84,251.59,166.25,UPI / Wallet,Jan,1,Q1
ORD-2025-1115,2025-12-03 01:40:53.044203,East,Electronics,Headphones,477.76,4,0.0,1911.04,1911.04,934.6,976.44,UPI / Wallet,Dec,12,Q4
ORD-2025-1116,2025-11-10 14:30:43.536280,North,Apparel,Jacket,153.48,1,0.0,153.48,153.48,103.17,50.31,Credit Card,Nov,11,Q4
ORD-2025-1117,2025-12-10 01:15:39.783152,East,Sports & Outdoors,Water Bottle,392.7,4,0.05,1570.8,1492.26,1148.66,343.6,Cash on Delivery,Dec,12,Q4
ORD-2025-1118,2025-10-21 20:55:02.752293,South,Beauty & Care,Perfume,113.39,1,0.05,113.39,107.72,61.78,45.94,Credit Card,Oct,10,Q4
ORD-2025-1119,2025-03-15 03:56:35.829858,West,Home & Kitchen,Coffee Maker,309.05,2,0.0,618.1,618.1,383.42,234.68,Credit Card,Mar,3,Q1
ORD-2025-1120,2025-04-04 04:49:26.472060,East,Apparel,T-Shirt,175.34,5,0.2,876.7,701.36,493.34,208.02,UPI / Wallet,Apr,4,Q2
ORD-2025-1121,2025-12-13 16:41:38.081734,West,Apparel,Sneakers,120.77,1,0.05,120.77,114.73,66.2,48.53,Credit Card,Dec,12,Q4
ORD-2025-1122,2025-11-23 15:48:47.439532,East,Electronics,Smartphone,516.0,1,0.15,516.0,438.6,239.16,199.44,UPI / Wallet,Nov,11,Q4
ORD-2025-1123,2025-05-29 03:36:10.809007,North,Apparel,Jacket,168.48,3,0.15,505.44,429.62,286.68,142.94,Credit Card,May,5,Q2
ORD-2025-1124,2025-05-18 19:52:35.629691,North,Electronics,Smartwatch,790.32,1,0.0,790.32,790.32,612.97,177.35,UPI / Wallet,May,5,Q2
ORD-2025-1125,2025-10-21 13:37:52.894078,East,Apparel,Sneakers,83.87,5,0.1,419.35,377.42,282.06,95.36,Credit Card,Oct,10,Q4
ORD-2025-1126,2025-04-02 23:40:47.039199,East,Beauty & Care,Makeup Kit,91.81,5,0.1,459.05,413.15,268.85,144.3,Debit Card,Apr,4,Q2
ORD-2025-1127,2025-12-13 02:07:18.365304,West,Electronics,Smartwatch,1123.39,5,0.05,5616.95,5336.1,3324.79,2011.31,UPI / Wallet,Dec,12,Q4
ORD-2025-1128,2025-08-16 16:33:13.661384,South,Apparel,T-Shirt,86.99,4,0.0,347.96,347.96,216.59,131.37,UPI / Wallet,Aug,8,Q3
ORD-2025-1129,2025-04-05 09:58:05.904920,East,Sports & Outdoors,Dumbbell Set,177.48,5,0.05,887.4,843.03,416.94,426.09,UPI / Wallet,Apr,4,Q2
ORD-2025-1130,2025-12-13 09:24:28.223519,South,Beauty & Care,Skincare Set,56.08,1,0.0,56.08,56.08,30.61,25.47,Credit Card,Dec,12,Q4
ORD-2025-1131,2025-06-10 21:37:04.854045,West,Apparel,Jacket,121.7,3,0.15,365.1,310.34,198.04,112.3,UPI / Wallet,Jun,6,Q2
ORD-2025-1132,2025-07-20 16:05:36.280233,North,Home & Kitchen,Cookware Set,119.63,1,0.2,119.63,95.7,70.73,24.97,UPI / Wallet,Jul,7,Q3
ORD-2025-1133,2025-07-13 01:56:29.824854,East,Electronics,Headphones,1190.82,5,0.0,5954.1,5954.1,4491.19,1462.91,Debit Card,Jul,7,Q3
ORD-2025-1134,2025-01-22 20:35:49.791492,South,Home & Kitchen,Coffee Maker,200.91,3,0.05,602.73,572.59,400.04,172.55,UPI / Wallet,Jan,1,Q1
ORD-2025-1135,2025-01-21 00:52:50.642201,South,Sports & Outdoors,Dumbbell Set,257.64,2,0.0,515.28,515.28,350.35,164.93,UPI / Wallet,Jan,1,Q1
ORD-2025-1136,2025-05-18 05:18:15.913261,North,Electronics,Headphones,712.62,4,0.2,2850.48,2280.38,1453.82,826.56,Credit Card,May,5,Q2
ORD-2025-1137,2025-04-16 08:16:00.800667,West,Sports & Outdoors,Water Bottle,286.26,2,0.1,572.52,515.27,268.25,247.02,UPI / Wallet,Apr,4,Q2
ORD-2025-1138,2025-05-20 08:18:24.920767,East,Apparel,Jacket,71.98,3,0.0,215.94,215.94,135.41,80.53,Debit Card,May,5,Q2
ORD-2025-1139,2025-04-05 02:40:56.046705,North,Home & Kitchen,Air Fryer,104.64,2,0.05,209.28,198.82,114.86,83.96,UPI / Wallet,Apr,4,Q2
ORD-2025-1140,2025-02-10 09:02:51.142618,North,Beauty & Care,Perfume,89.5,4,0.05,358.0,340.1,170.11,169.99,UPI / Wallet,Feb,2,Q1
ORD-2025-1141,2025-03-18 12:05:24.270225,West,Beauty & Care,Hair Dryer,37.48,1,0.1,37.48,33.73,19.57,14.16,Credit Card,Mar,3,Q1
ORD-2025-1142,2025-10-06 02:02:30.125104,North,Electronics,Headphones,1161.27,4,0.0,4645.08,4645.08,3475.92,1169.16,UPI / Wallet,Oct,10,Q4
ORD-2025-1143,2025-01-13 18:00:54.045037,East,Beauty & Care,Hair Dryer,65.98,3,0.1,197.94,178.15,105.85,72.3,Credit Card,Jan,1,Q1
ORD-2025-1144,2025-10-26 02:55:20.767306,North,Home & Kitchen,Blender,71.32,4,0.05,285.28,271.02,192.79,78.23,Credit Card,Oct,10,Q4
ORD-2025-1145,2025-09-06 15:17:33.878231,North,Beauty & Care,Makeup Kit,60.48,3,0.0,181.44,181.44,118.98,62.46,Debit Card,Sep,9,Q3
ORD-2025-1146,2025-07-01 05:47:05.354462,West,Apparel,Sneakers,27.97,5,0.0,139.85,139.85,108.57,31.28,Credit Card,Jul,7,Q3
ORD-2025-1147,2025-04-13 07:24:22.218515,North,Beauty & Care,Skincare Set,104.44,2,0.0,208.88,208.88,108.74,100.14,Credit Card,Apr,4,Q2
ORD-2025-1148,2025-06-30 00:38:25.921601,South,Electronics,Laptop,564.2,1,0.05,564.2,535.99,266.47,269.52,Debit Card,Jun,6,Q2
ORD-2025-1149,2025-01-09 12:00:36.030025,North,Apparel,Sneakers,146.08,1,0.05,146.08,138.78,105.47,33.31,UPI / Wallet,Jan,1,Q1
ORD-2025-1150,2025-05-22 11:18:33.928273,North,Beauty & Care,Skincare Set,94.62,3,0.0,283.86,283.86,220.38,63.48,Cash on Delivery,May,5,Q2
ORD-2025-1151,2025-03-25 18:57:20.867389,South,Beauty & Care,Hair Dryer,55.48,5,0.05,277.4,263.53,145.12,118.41,Credit Card,Mar,3,Q1
ORD-2025-1152,2025-10-28 20:29:49.491242,South,Electronics,Headphones,971.61,4,0.05,3886.44,3692.12,2021.84,1670.28,UPI / Wallet,Oct,10,Q4
ORD-2025-1153,2025-04-25 10:50:56.547122,South,Apparel,Sneakers,70.39,4,0.0,281.56,281.56,215.92,65.64,Credit Card,Apr,4,Q2
ORD-2025-1154,2025-02-25 06:03:54.195162,North,Home & Kitchen,Coffee Maker,332.35,3,0.15,997.05,847.49,496.85,350.64,Credit Card,Feb,2,Q1
ORD-2025-1155,2025-01-12 12:52:14.612176,West,Electronics,Headphones,414.85,4,0.0,1659.4,1659.4,1135.0,524.4,Debit Card,Jan,1,Q1
ORD-2025-1156,2025-06-11 19:28:34.428690,South,Sports & Outdoors,Dumbbell Set,227.45,4,0.1,909.8,818.82,505.48,313.34,UPI / Wallet,Jun,6,Q2
ORD-2025-1157,2025-07-30 23:49:11.459549,East,Home & Kitchen,Air Fryer,237.25,2,0.05,474.5,450.78,241.83,208.95,UPI / Wallet,Jul,7,Q3
ORD-2025-1158,2025-06-06 01:02:27.122602,West,Home & Kitchen,Cookware Set,136.39,3,0.0,409.17,409.17,275.53,133.64,Debit Card,Jun,6,Q2
ORD-2025-1159,2025-06-01 11:44:59.249374,South,Apparel,Sneakers,154.07,4,0.0,616.28,616.28,453.17,163.11,Credit Card,Jun,6,Q2
ORD-2025-1160,2025-12-08 05:32:40.633861,North,Sports & Outdoors,Water Bottle,194.49,5,0.0,972.45,972.45,709.82,262.63,Credit Card,Dec,12,Q4
ORD-2025-1161,2025-10-13 08:54:26.722268,North,Beauty & Care,Skincare Set,76.15,2,0.05,152.3,144.68,86.71,57.97,Credit Card,Oct,10,Q4
